HuddersfieldTown.csv 	 Player 	 1213 	 1.0
HuddersfieldTown.csv 	 Player 	 12380 	 0.0
HuddersfieldTown.csv 	 Player 	 14455 	 0.0
HuddersfieldTown.csv 	 Player 	 1560 	 1.0
HuddersfieldTown.csv 	 Player 	 15680 	 0.0
HuddersfieldTown.csv 	 Player 	 16110 	 0.0
HuddersfieldTown.csv 	 Player 	 16112 	 0.0
HuddersfieldTown.csv 	 Player 	 16360 	 0.0
HuddersfieldTown.csv 	 Player 	 16361 	 0.0
HuddersfieldTown.csv 	 Player 	 16452 	 0.0
HuddersfieldTown.csv 	 Player 	 1663 	 1.0
HuddersfieldTown.csv 	 Player 	 17079 	 0.0
HuddersfieldTown.csv 	 Player 	 1812 	 1.0
HuddersfieldTown.csv 	 Player 	 1971 	 1.0
HuddersfieldTown.csv 	 Player 	 2147 	 0.0
HuddersfieldTown.csv 	 Player 	 2334 	 1.0
HuddersfieldTown.csv 	 Player 	 2506 	 0.0
HuddersfieldTown.csv 	 Player 	 2621 	 0.0
HuddersfieldTown.csv 	 Player 	 2658 	 0.0
HuddersfieldTown.csv 	 Player 	 3018 	 1.0
HuddersfieldTown.csv 	 Player 	 3346 	 1.0
HuddersfieldTown.csv 	 Player 	 3468 	 0.0
HuddersfieldTown.csv 	 Player 	 3598 	 0.0
HuddersfieldTown.csv 	 Player 	 4100 	 0.0
HuddersfieldTown.csv 	 Player 	 4125 	 0.0
HuddersfieldTown.csv 	 Player 	 5175 	 0.0
HuddersfieldTown.csv 	 Player 	 6862 	 0.0
HuddersfieldTown.csv 	 Player 	 7754 	 0.0
HuddersfieldTown.csv 	 Player 	 831 	 1.0
HuddersfieldTown.csv 	 Player 	 839 	 1.0
LeicesterCity.csv 	 Player 	 10391 	 0.0
LeicesterCity.csv 	 Player 	 11584 	 0.0
LeicesterCity.csv 	 Player 	 13203 	 0.0
LeicesterCity.csv 	 Player 	 13303 	 0.0
LeicesterCity.csv 	 Player 	 1346 	 0.0
LeicesterCity.csv 	 Player 	 13602 	 0.0
LeicesterCity.csv 	 Player 	 149 	 1.0
LeicesterCity.csv 	 Player 	 1519 	 0.0
LeicesterCity.csv 	 Player 	 1666 	 1.0
LeicesterCity.csv 	 Player 	 1691 	 0.0
LeicesterCity.csv 	 Player 	 1869 	 0.0
LeicesterCity.csv 	 Player 	 1930 	 0.0
LeicesterCity.csv 	 Player 	 1946 	 1.0
LeicesterCity.csv 	 Player 	 1947 	 0.0
LeicesterCity.csv 	 Player 	 1967 	 0.0
LeicesterCity.csv 	 Player 	 1984 	 0.0
LeicesterCity.csv 	 Player 	 2332 	 0.0
LeicesterCity.csv 	 Player 	 251 	 1.0
LeicesterCity.csv 	 Player 	 259 	 1.0
LeicesterCity.csv 	 Player 	 2907 	 0.0
LeicesterCity.csv 	 Player 	 3197 	 0.0
LeicesterCity.csv 	 Player 	 3301 	 0.0
LeicesterCity.csv 	 Player 	 341 	 1.0
LeicesterCity.csv 	 Player 	 3528 	 0.0
LeicesterCity.csv 	 Player 	 425 	 1.0
LeicesterCity.csv 	 Player 	 4596 	 0.0
LeicesterCity.csv 	 Player 	 5262 	 0.0
LeicesterCity.csv 	 Player 	 6537 	 0.0
LeicesterCity.csv 	 Player 	 670 	 1.0
LeicesterCity.csv 	 Player 	 685 	 1.0
LeicesterCity.csv 	 Player 	 742 	 1.0
LeicesterCity.csv 	 Player 	 922 	 1.0
Liverpool.csv 	 Player 	 1063 	 1.0
Liverpool.csv 	 Player 	 118 	 1.0
Liverpool.csv 	 Player 	 1194 	 0.0
Liverpool.csv 	 Player 	 13503 	 0.0
Liverpool.csv 	 Player 	 13961 	 0.0
Liverpool.csv 	 Player 	 14036 	 0.0
Liverpool.csv 	 Player 	 14252 	 0.0
Liverpool.csv 	 Player 	 14674 	 0.0
Liverpool.csv 	 Player 	 15378 	 0.0
Liverpool.csv 	 Player 	 15627 	 0.0
Liverpool.csv 	 Player 	 161 	 0.0
Liverpool.csv 	 Player 	 2405 	 0.0
Liverpool.csv 	 Player 	 241 	 1.0
Liverpool.csv 	 Player 	 26 	 1.0
Liverpool.csv 	 Player 	 296 	 0.0
Liverpool.csv 	 Player 	 302 	 0.0
Liverpool.csv 	 Player 	 368 	 1.0
Liverpool.csv 	 Player 	 370 	 0.0
Liverpool.csv 	 Player 	 409 	 0.0
Liverpool.csv 	 Player 	 4763 	 0.0
Liverpool.csv 	 Player 	 481 	 0.0
Liverpool.csv 	 Player 	 483 	 1.0
Liverpool.csv 	 Player 	 515 	 0.0
Liverpool.csv 	 Player 	 529 	 1.0
Liverpool.csv 	 Player 	 58 	 1.0
Liverpool.csv 	 Player 	 59 	 1.0
Liverpool.csv 	 Player 	 61 	 1.0
Liverpool.csv 	 Player 	 665 	 0.0
Liverpool.csv 	 Player 	 703 	 0.0
